Image,Method,Min Distance,Detected Cells,True Cells,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score
Image 1,combined,5,293,242,179,91,63,0.662962962962963,0.7396694214876033,0.6992187500000001
Image 1,combined,8,261,242,193,59,49,0.7658730158730159,0.7975206611570248,0.7813765182186235
Image 1,combined,10,247,242,200,42,42,0.8264462809917356,0.8264462809917356,0.8264462809917356
Image 1,boundary_distance,5,265,242,208,48,34,0.8125,0.859504132231405,0.8353413654618473
Image 1,boundary_distance,8,242,242,203,33,39,0.8601694915254238,0.8388429752066116,0.8493723849372384
Image 1,boundary_distance,10,143,242,126,17,116,0.8811188811188811,0.5206611570247934,0.6545454545454547
Image 1,intensity_based,5,296,242,210,60,32,0.7777777777777778,0.8677685950413223,0.8203125000000001
Image 1,intensity_based,8,247,242,199,38,43,0.8396624472573839,0.8223140495867769,0.8308977035490606
Image 1,intensity_based,10,154,242,137,15,105,0.9013157894736842,0.5661157024793388,0.6954314720812182
Image 2,combined,5,265,311,172,83,139,0.6745098039215687,0.5530546623794212,0.607773851590106
Image 2,combined,8,234,311,181,45,130,0.8008849557522124,0.5819935691318328,0.6741154562383612
Image 2,combined,10,223,311,182,37,129,0.8310502283105022,0.5852090032154341,0.6867924528301887
Image 2,boundary_distance,5,244,311,203,37,108,0.8458333333333333,0.6527331189710611,0.7368421052631579
Image 2,boundary_distance,8,228,311,195,29,116,0.8705357142857143,0.6270096463022508,0.7289719626168225
Image 2,boundary_distance,10,224,311,193,29,118,0.8693693693693694,0.6205787781350482,0.7242026266416511
Image 2,intensity_based,5,260,311,217,38,94,0.8509803921568627,0.6977491961414791,0.7667844522968197
Image 2,intensity_based,8,238,311,206,29,105,0.8765957446808511,0.662379421221865,0.7545787545787547
Image 2,intensity_based,10,228,311,202,24,109,0.8938053097345132,0.6495176848874598,0.7523277467411544
Image 3,combined,5,1023,509,487,245,22,0.6653005464480874,0.9567779960707269,0.7848509266720386
Image 3,combined,8,645,509,455,131,54,0.7764505119453925,0.8939096267190569,0.8310502283105023
Image 3,combined,10,597,509,447,109,62,0.8039568345323741,0.8781925343811395,0.83943661971831
Image 3,boundary_distance,5,617,509,453,123,56,0.7864583333333334,0.8899803536345776,0.8350230414746543
Image 3,boundary_distance,8,563,509,443,96,66,0.8218923933209648,0.8703339882121808,0.8454198473282444
Image 3,boundary_distance,10,526,509,427,83,82,0.8372549019607843,0.8388998035363457,0.8380765456329736
Image 3,intensity_based,5,722,509,464,152,45,0.7532467532467533,0.9115913555992141,0.8248888888888889
Image 3,intensity_based,8,621,509,455,114,54,0.7996485061511424,0.8939096267190569,0.8441558441558442
Image 3,intensity_based,10,560,509,442,86,67,0.8371212121212122,0.8683693516699411,0.8524590163934427
